Species	Global_Prevalence	SamplePresence_count	Abundance_Upper RT	Abundance_Intermediate RT	Abundance_Lower RT	Abundance_Nasal swab	Abundance_Buccal mucosa	Abundance_Oral swab	Abundance_Saliva	Abundance_Tongue dorsum	Abundance_Supraglottal	Abundance_Sputum	Abundance_BAL
s__Mycoplasma_pneumoniae	1.636	46	125.00496799606	0	382.441606573771	44.6503797632597	0	80.3545882328004	0	0	0	0	382.441606573771
s__Stenotrophomonas_maltophilia	1.778	50	118.737768407929	86.03220392072	380.039104439896	0	117.949609323693	0	0.78815908423567	0	0.127408880499921	85.9047950402201	380.039104439896
s__Bradyrhizobium_diazoefficiens	0.569	16	0	0	377.148785451283	0	0	0	0	0	0	0	377.148785451283
s__Corynebacterium_aurimucosum	5.832	164	16.1007871118791	22.3073872295592	358.078092474937	0.119227668388653	13.5525816129078	0	2.42897783058266	0	22.2633188670657	0.0440683624934865	358.078092474937
s__Prevotella_histicola	55.228	1553	1767.77772185884	1473.50465371629	344.439443423205	0.59712136392318	980.450461413119	455.387201370081	331.342937711721	1024.05463895659	54.1832484355242	308.366402998464	344.439443423205
s__Corynebacterium_amycolatum	1.031	29	12.6198550613137	66.7624800957651	342.487612242536	0	12.1016326324478	0	0.51822242886591	0	66.7624800957651	0	342.487612242536
s__Streptococcus_parasanguinis	68.706	1932	2073.5688823433	1944.55895947327	334.137234974284	3.98853639096799	1093.79115580636	615.410875997018	360.378314148947	1408.17710070953	58.4894074371731	437.604615192521	334.137234974284
s__Prevotella_oris	45.306	1274	271.234600329441	108.907965372924	314.781094285867	0	161.552649197211	23.4760130925072	86.2059380397227	13.8544782120663	27.0337191871956	29.2082164990434	314.781094285867
s__Streptococcus_salivarius	69.701	1960	3060.92737411907	2000.58139291451	276.77139787391	1.6617792300794	2081.061102631	600.903510534161	377.300981723828	1516.74347620429	15.552610640766	402.699802079532	276.77139787391
s__Porphyromonas_pasteri	67.354	1894	3146.23055207741	2147.00174554473	275.972161185282	0	1735.47089997425	567.19882491048	843.560827192682	1478.85259440337	94.2139627928616	419.114684578114	275.972161185282
s__Meiothermus_silvanus	0.605	17	0.268991880425121	6.56130704493301	270.091136441529	0	0.268991880425121	0	0	0	6.56130704493301	0	270.091136441529
s__Streptococcus_oralis	67.319	1893	2374.3188622654	241.56649524301	238.48567727779	0.887529286964312	1783.96877830453	291.865602664849	297.596952009056	51.1236235163398	12.4543642881343	173.463785082715	238.48567727779
s__Prevotella_pallens	56.081	1577	1164.81268937002	1004.83091533351	236.53389231369	0.408617701098217	436.271522744903	336.077453457573	392.055095466448	760.703541493468	63.3334075487147	84.6109160716391	236.53389231369
s__Candidatus_Planktophila_sulfonica	0.889	25	0	0	228.409855583682	0	0	0	0	0	0	0	228.409855583682
s__Haemophilus_parainfluenzae	67.994	1912	5805.04432121669	1728.92564734322	218.387526859663	0.397097280861162	3976.7371187052	738.957273563998	1088.95283166663	1296.73183179946	28.3077988762888	331.460359238819	218.387526859663
s__Streptococcus_infantis	69.061	1942	1325.74958117214	1045.01324019331	212.25764188926	0.205807699248457	769.375658880933	245.865158316861	310.3029562751	751.919946321285	52.3527446519217	214.451297491371	212.25764188926
s__Staphylococcus_haemolyticus	2.952	83	210.843842455192	48.555228745059	208.434622513671	71.6891103922357	137.87387923107	0.348639435883898	0.93221339600224	0	48.555228745059	0	208.434622513671
s__Corynebacterium_accolens	1.671	47	127.795245398787	9.39197299997858	204.06800158488	63.3448059984313	34.3632848085287	29.3708490270863	0.716305564740237	2.81030183453431	6.39074530759338	0	204.06800158488
s__Achromobacter_ruhlandii	0.533	15	15.4669016641306	1038.60428561199	199.81078607337	0	15.4669016641306	0	0	0	0	1038.60428561199	199.81078607337
s__Alloprevotella_tannerae	27.667	778	276.376093020815	91.8870999336407	190.210499381522	0	148.653059150171	15.1033851655764	112.619648705068	14.7873863224812	35.8666739668352	12.6203939829347	190.210499381522
s__Prevotella_intermedia	19.381	545	198.726673358301	142.696454269243	190.076930787169	0	110.370884837267	15.9171098528834	72.4386786681506	7.49232978639791	0.632194076652612	9.73997659887022	190.076930787169
s__Prevotella_salivae	57.397	1614	681.645433426735	550.037347277122	186.141461565153	0.0297414978112097	270.337396257513	182.098604878503	229.179690792908	371.921423296405	73.608742128487	70.762225827529	186.141461565153
s__Prevotella_jejuni	47.617	1339	1183.74852324342	901.52427323348	180.107186820571	0.069531293100641	486.396102204183	326.671003016221	370.611886729911	619.87124799607	62.278432332088	128.363652913081	180.107186820571
s__Alloprevotella_SGB1463	29.339	825	1593.57561794855	48.0067706248064	179.844551849366	0	1151.66092306685	241.154997029246	200.759697852456	11.9589384372854	0	0.134917025348747	179.844551849366
s__Prevotella_bivia	0.569	16	2.73134316684861	75.0984055179541	167.600466592306	0	2.17936412854393	0.468501170787773	0.083477867516911	0.24510357487975	59.402857418976	15.4504445240983	167.600466592306
s__Veillonella_dispar	66.536	1871	2963.8908740403	2240.17127248184	163.58137331843	1.43238463490571	1645.05792356424	698.827906420439	618.572659420719	1800.12683325374	80.6058776214001	260.8167087027	163.58137331843
s__Veillonella_atypica	64.794	1822	1997.17681665212	1416.53807034617	163.481636946598	0.263298146349605	1021.8077638201	477.152198021133	497.953556664536	1080.63812164388	50.8671594973884	177.428466053411	163.481636946598
s__Burkholderia_cenocepacia	0.391	11	34.3004863643013	104.193040511349	159.174384781039	0	34.3004863643013	0	0	0	25.4488435661614	78.7441969451872	159.174384781039
s__GGB28908_SGB41601	0.605	17	0	0	143.001125158809	0	0	0	0	0	0	0	143.001125158809
s__Prevotella_veroralis	26.031	732	161.134248616554	49.7463855421468	140.965378321683	0	86.0273737117109	29.4479545794348	45.6589203254085	2.54840285201643	9.90163657000284	1.96904653201589	140.965378321683
s__Sphingomonas_echinoides	0.533	15	0	0	137.234566363617	0	0	0	0	0	0	0	137.234566363617
s__Prevotella_denticola	23.969	674	124.605820132381	22.2064753431697	137.139612446796	0	77.6325054738736	1.95410660065173	45.0192080578554	3.22795863879826	15.5433588466257	2.64579870220297	137.139612446796
s__Lancefieldella_parvula	60.206	1693	564.946911091088	526.939445634583	137.136298242395	0.853426315866994	224.407967669649	166.470603907038	173.214913198534	343.730307366472	78.5804542822666	84.1402430083063	137.136298242395
s__Prevotella_nigrescens	39.474	1110	228.875734428628	130.710470025991	133.851596015834	0	152.434327851757	11.8174590711303	64.6239475057407	17.6298661913923	4.8819738369612	48.0276065402116	133.851596015834
s__Lacticaseibacillus_paracasei	1.814	51	30.6301310483113	22.4059328769536	129.036707109068	0	22.4505152239624	7.75247005697182	0.427145767377152	0	22.0941490244539	0.31178385249966	129.036707109068
s__Alloprevotella_SGB1484	31.65	890	198.745825370876	161.732278668378	128.518787326461	0	53.0831666655827	61.9901285961179	83.6725301091749	121.201330093194	25.0095745459882	2.02411040695775	128.518787326461
s__Prevotella_nanceiensis	59.637	1677	661.549245535575	589.053588229519	128.48491596983	0	320.413708018138	135.123681897721	206.011855619716	458.607975064417	19.3293371104886	77.2937619891821	128.48491596983
s__GGB28418_SGB41000	0.391	11	0	0	123.924620889758	0	0	0	0	0	0	0	123.924620889758
s__Veillonella_rogosae	53.058	1492	1153.13317478372	1349.76772784106	122.364413603447	0	483.692876203094	251.697896841903	417.742401738726	1147.44397939115	7.90702186162511	116.2720620962	122.364413603447
s__GGB3793_SGB5158	0.533	15	0	0	121.649486389353	0	0	0	0	0	0	0	121.649486389353
s__Granulicatella_SGB8255	71.622	2014	987.340809871651	900.891175912351	119.210578533786	1.85269055053927	502.063684069829	244.592802055881	238.831633195402	652.616283153982	29.5175215588619	190.195548347867	119.210578533786
s__Neisseria_sicca	59.104	1662	2496.63420901335	159.074399624852	116.147058968317	0	1772.45882508171	325.526951788779	398.648432142869	84.6969716086323	0.215203780183755	54.1934033727836	116.147058968317
s__Granulicatella_adiacens	56.757	1596	450.962807013875	87.1681064931724	108.884826506806	0	316.857836553964	76.9170168578463	57.1879536020653	13.1614293385238	47.4128688897019	25.8339545365746	108.884826506806
s__Bifidobacterium_breve	2.738	77	155.241359409698	2.7319868650466	103.38666194374	62.8954383745111	89.7686329835839	0.0880970268174708	2.48919102478523	0	0.598344388940808	2.13364247610579	103.38666194374
s__Fusobacterium_nucleatum	66.927	1882	778.684286654747	435.578740683938	100.627194560492	0	533.837075334913	106.226224870189	138.620986449645	113.228682022568	41.5779494048598	99.595069942783	100.627194560492
s__Moraxella_catarrhalis	6.081	171	476.692746548463	6.36491420978085	100.475286567531	58.3203489102367	23.3104779550987	17.4666108035268	1.45432516318617	0	0	6.36491420978085	100.475286567531
s__Lacticaseibacillus_rhamnosus	1.814	51	19.036550675266	66.8078036202753	97.7654765172689	0	17.5245500059526	0	1.51200066931337	0	61.739808351808	5.06799526846729	97.7654765172689
s__Porphyromonas_endodontalis	27.525	774	174.559500247505	72.221237786145	91.6639518797596	0	84.0889470513871	19.5605792179443	70.9099739781737	12.4559926785081	7.8003442950853	8.80995339103758	91.6639518797596
s__Prevotella_vespertina	41.145	1157	610.609722017775	468.237610976941	90.4606170026248	0	217.362817413672	191.298457590193	201.94844701391	312.441811147632	71.7624235537701	31.2676176122965	90.4606170026248
s__GGB1144_SGB1468	55.725	1567	691.532066983996	462.782485690328	89.7553192309345	0.0203710297910303	288.348803167985	185.735010804894	217.427881981326	369.18911009033	17.4620623033056	49.8743809207472	89.7553192309345
s__Cutibacterium_modestum	0.782	22	1.38480491073702	0.0955776658488268	89.5654140162944	0	1.33260512752462	0	0.0521997832123993	0	0	0.0955776658488268	89.5654140162944
s__Porphyromonas_gingivalis	6.33	178	124.682862569427	10.7413182166715	84.290824848366	0	66.5957881069507	0.477091313655154	57.6099831488207	2.58435669445949	5.96434783973222	2.107451627063	84.290824848366
s__Curvibacter_gracilis	0.533	15	0.228089604046519	0	74.7378375019359	0	0.228089604046519	0	0	0	0	0	74.7378375019359
s__Corynebacterium_kefirresidentii	1.458	41	1.4823699534878	1.81182385267257	74.577576801118	0	1.000499103536	0	0.481870849951803	0.0976047542222581	1.71421909845031	0	74.577576801118
s__Alloprevotella_SGB1483	30.939	870	173.925196384715	140.210050659125	73.3124385745513	0	45.4777366673624	56.9394070007873	71.508052716565	97.5622731048189	26.9418282669213	3.19205642121682	73.3124385745513
s__Finegoldia_magna	1.565	44	0.810724735660382	111.605786661053	71.4718280781238	0	0.810724735660382	0	0	7.02347094348558	102.6329755413	1.94934017626768	71.4718280781238
s__Megasphaera_micronuciformis	48.009	1350	482.439480469835	417.512087816858	69.4643211088679	0	189.883717480402	143.968123946558	148.587639042876	326.541959704013	37.3930526166773	31.9932812218854	69.4643211088679
s__GGB1088_SGB1395	45.021	1266	1852.70483642727	78.5502791923538	64.9128520059787	0	1435.31775760166	199.422514178478	217.964564647133	26.6537349975912	0.0374213380321513	26.4772909128414	64.9128520059787
s__GGB1144_SGB1469	49.893	1403	801.693944515698	492.797858968049	62.8293248824285	0	451.151904153079	131.886567668891	218.655472693727	374.518020984174	56.9944006138381	8.67574521611077	62.8293248824285
s__Phocaeicola_vulgatus	9.459	266	30.3490137444392	10.8643550599653	62.2444613440861	4.60562902565044	23.8568308186049	1.87680748029421	0.00974641988968711	7.45258366755465	0	0.0314753936343417	62.2444613440861
s__Cloacibacterium_caeni	2.383	67	8.93607946821218	0.0877867482750879	61.4753838172612	0	8.88076275973304	0	0.0553167084791433	0.0314879866475934	0	0.0496001148312323	61.4753838172612
s__Prevotella_oulorum	34.495	970	265.675499269284	73.1455030990961	60.7979347171711	0	165.76986282972	21.768360073152	78.1372763664114	17.021334776248	40.7842121765564	4.59932032606521	60.7979347171711
s__GGB2722_SGB3663	1.92	54	7.08194713048515	0.869624370533687	58.3127237927223	0	6.49739616072469	0	0.584550969760465	0.770409305061832	0	0.0751892636549688	58.3127237927223
s__GGB45697_SGB2042	23.613	664	408.472880207626	6.51964707973743	56.3470225170451	0	282.237375882493	18.9449321569439	107.290572168189	1.18405463379328	1.98229999158116	3.0251699485219	56.3470225170451
s__Peptostreptococcus_SGB749	37.269	1048	114.521000079402	135.621004560939	54.4258299785805	0	24.7324383295309	46.2717674702869	43.5167942795841	108.682142155276	5.6937864274796	15.0082810499211	54.4258299785805
s__Mogibacterium_diversum	46.622	1311	159.412148865574	166.101679463071	48.280410154582	0	51.4088548995073	61.0322454353326	46.971048530734	139.463044209094	6.76814763839764	13.8385850320256	48.280410154582
s__Alloprevotella_SGB1410	18.883	531	147.756959644215	69.2921309127854	47.325832814774	0	19.9037874545279	64.2824296216807	63.570742568006	55.6614538293179	2.25176028982459	1.61394282441624	47.325832814774
s__Bifidobacterium_adolescentis	0.462	13	0.773454353564973	0.994155047766055	45.5632490637023	0.047004374671958	0.577804789259313	0.148645189633702	0	0	0	0.994155047766055	45.5632490637023
s__Streptococcus_anginosus	18.385	517	79.0685891822204	30.206306346509	45.3280932616564	0	52.3467854572821	4.15101320062582	22.5707905243125	1.73260928020136	6.00495699632036	6.1938481571288	45.3280932616564
s__Selenomonas_SGB5880	38.834	1092	184.657193123498	173.549647317725	44.2642645076417	0	38.872421814786	64.9566346865983	80.8281366221139	146.944930392434	0.00266318925668612	5.04081845248827	44.2642645076417
s__Staphylococcus_hominis	10.455	294	114.243522896201	9.62611441045805	43.3464563339298	0.487873288432115	108.430994546865	1.55359310643054	3.77106195447306	0	9.60262168895773	0.0234927215003204	43.3464563339298
s__Haemophilus_haemolyticus	61.735	1736	5221.2668814755	160.776385162316	43.2558884304665	0	4144.43375152036	580.575773160552	496.257356794583	46.9229753761146	0	88.3168627137787	43.2558884304665
s__Actinomyces_SGB17168	33.962	955	335.981121770203	583.970046151079	42.1470346487081	0.00507230162197604	120.444120253063	100.021709756984	115.510219458534	517.458011463423	3.96339782610473	41.3229313119833	42.1470346487081
s__Parvimonas_micra	24.822	698	46.7722796510092	24.4448044347328	41.9464673564689	0	30.5224957393538	3.58501914070787	12.6647647709476	2.77053654160302	2.8989058168346	2.18201393857473	41.9464673564689
s__Lactobacillus_gasseri	5.263	148	209.494325586719	131.335402388965	41.75840389966	0	145.393865392485	0.674460495478602	63.425999698756	0	107.204961777624	24.1304406113413	41.75840389966
s__Rothia_SGB49305	61.629	1733	2043.4691174766	246.342714507915	41.6646948880615	0	1684.16741003118	114.600923951997	244.700783493426	32.7087601434185	15.6934228381044	192.00921414201	41.6646948880615
s__Actinomyces_sp_ph3	46.479	1307	215.117822979394	146.882308066649	40.9406330171445	0.270179140351044	123.979518685639	65.3054391052894	25.5626860481147	104.754525063465	24.528969080764	16.1540772024554	40.9406330171445
s__Malassezia_restricta	2.098	59	4.419862193504	2.55950961526193	39.6995075678201	0	4.36347000061326	0	0.0563921928907322	0.238069407072905	2.25468028866182	0.0667599195272054	39.6995075678201
s__Fusobacterium_pseudoperiodonticum	58.393	1642	1532.61860425997	1472.42296000472	39.0479977265405	0	701.616165580426	307.186489307935	523.815949371612	1246.82808041778	0	102.639130803395	39.0479977265405
s__Alloscardovia_omnicolens	5.548	156	2.95795421942803	10.8694112483671	38.2523512731445	0	2.37061701414904	0	0.587337205278982	7.98477346043239	0.687356951853519	0.84779968863493	38.2523512731445
s__Prevotella_copri_clade_A	5.725	161	32.6145751569275	5.66485469031121	38.1002226503724	0.540770587705063	10.0355610534965	12.2809078301292	9.75733568559672	1.75458859697276	0	0.0539570365447201	38.1002226503724
s__Aquirufa_antheringensis	0.498	14	0	0	37.595369195674	0	0	0	0	0	0	0	37.595369195674
s__Micrococcus_luteus	6.223	175	11.3823206668056	0.0433867854818365	37.2332354362349	0.747861180831965	7.92273499524109	0.18183719871262	2.52988729201991	0	0	0.0433867854818365	37.2332354362349
s__Alloprevotella_sp_oral_taxon_473	18.812	529	113.331424191128	20.0173430959929	36.8778488390007	0	77.9387504001981	5.62847484891645	29.7641989420137	9.59937456341292	3.27319882166483	0.105635957853903	36.8778488390007
s__Fannyhessea_vaginae	0.676	19	0.259555634489553	54.4598881335734	32.7876585327774	0	0	0	0.259555634489553	0.145891783711905	49.4374860817382	4.8765102681233	32.7876585327774
s__Campylobacter_concisus	63.016	1772	669.611285739383	590.294019650037	32.3502167499559	0	308.919703262019	150.358814197144	210.33276828022	460.896619310413	54.7549258301127	38.1092527468051	32.3502167499559
s__Lautropia_mirabilis	54.445	1531	1461.80712061925	113.720253888129	31.5280693835464	0	1019.30267046291	193.891044033318	248.613406123022	55.2674928509983	12.7746630243493	34.9977184857499	31.5280693835464
s__Neisseria_elongata	44.488	1251	461.918770979576	37.2429178744503	30.1627098430244	0.0638289842608047	322.079108646584	36.7483015714918	103.02753177724	32.3646007915498	0	1.36160690022908	30.1627098430244
s__Faecalibacterium_prausnitzii	2.098	59	9.55154232293237	11.296625386878	29.8538678122148	5.05716314364941	3.64565835518355	0.848720824099411	0	8.48430208674542	0	0.0668972724185748	29.8538678122148
s__Kocuria_rhizophila	1.707	48	7.19278549429273	0.0616636605119013	28.9699748605346	0	5.49334076842496	1.36905716612044	0.330387559747329	0	0	0.0616636605119013	28.9699748605346
s__Filifactor_alocis	13.798	388	25.9971460123644	10.7860403510518	28.9666908632623	0	11.7050417128128	1.57239792135289	12.7197063781987	2.82448217800339	0.552850261151797	1.54842772136075	28.9666908632623
s__Capnocytophaga_leadbetteri	57.112	1606	596.69257156525	103.896875832636	28.6881235698816	0	401.699903589381	81.0542311204911	113.938436855378	55.7554488891992	1.44827894614257	21.826026139216	28.6881235698816
s__Actinomyces_graevenitzii	52.205	1468	597.366144922643	636.179379553381	27.9728073810966	0.0271190517949244	251.258254992092	184.304554100818	161.776216777938	513.538198882798	13.8238925499846	80.0126891093168	27.9728073810966
s__Enterobacter_hormaechei	1.245	35	18.9450595641089	0.194134474401593	27.1025181769746	0	18.8601051317484	0.00387381573752051	0.0810806166229568	0	0.194134474401593	0	27.1025181769746
s__Bifidobacterium_longum	7.041	198	127.236451590719	55.039869595983	27.0558282642882	18.7869709231677	98.5594506378103	0.300405216913233	9.58962481282794	12.5110756163459	2.7567645988315	39.5554743005382	27.0558282642882
s__Anaeroglobus_geminatus	9.531	268	21.1996858882227	8.19115403394986	26.587958735992	0	13.9150693756255	0	7.28461651259722	0.123355724292334	7.80250864161169	0	26.587958735992
s__Actinomyces_SGB17132	43.03	1210	124.31504966429	140.392459466787	26.5448443585658	0.343177035627954	28.884479060258	64.2875337253842	30.7998598430196	100.67518425871	11.9299643202496	23.5402407207277	26.5448443585658
s__Prevotella_timonensis	0.605	17	0.479850612005956	42.8145488776967	26.4842605662858	0	0.342042466243545	0	0.137808145762411	19.3738775415907	22.6215214824691	0.819149853636874	26.4842605662858
s__Bacteroides_stercoris	2.596	73	10.5996491501893	1.13771317281836	25.3845005213633	0.179732360181597	10.1142467123379	0.305670077669836	0	0.194605394905848	0	0	25.3845005213633
s__Bacteroides_salyersiae	0.533	15	7.2477106561113	0.163505733376894	22.3999277920293	0	7.2477106561113	0	0	0.163505733376894	0	0	22.3999277920293
s__Candida_parapsilosis	0.96	27	64.4153576600152	20.8844219683977	21.8018688217354	0	0.208850655994356	64.2065070040208	0	0	3.5371015061985	17.3473204621992	21.8018688217354
s__Actinomyces_SGB17154	25.142	707	278.793793378581	272.438938516874	21.75785231297	3.57572195038728	103.804009771145	144.093470556758	27.3205911002902	214.925984266476	8.56016258536357	41.4568070511497	21.75785231297
s__Lancefieldella_rimae	21.871	615	39.8283520442333	10.9332219506162	21.7335400068854	0	25.0452586859663	1.39713857870509	13.3859547795619	2.53326684977744	5.0689639681553	1.95110141219487	21.7335400068854
s__Candidatus_Absconditabacteria_unclassified_SGB6894	10.028	282	144.493145309886	79.2434192884628	21.6286526220923	0	30.2233164712252	10.56812624075	103.70170259791	75.9893284999608	0	0.385415946895205	21.6286526220923
s__Actinomyces_naeslundii	37.304	1049	526.645410821415	36.56224738414	20.6985931493889	0	406.459077386101	26.1045968490538	94.0817365862597	7.91780599684031	7.22847053906976	19.5539570050924	20.6985931493889
s__Prevotella_baroniae	10.028	282	19.357257375194	6.76529154399106	20.6670280201507	0	9.57270499462898	0.111427625776118	9.67312475478891	0.689084084317454	3.63503779297576	0.175050699821453	20.6670280201507
s__Alistipes_onderdonkii	0.782	22	2.35292812291847	10.0190630478569	20.243093486721	0.26839565646251	2.08453246645596	0	0	0.0013942968317998	0	0	20.243093486721
s__Veillonella_tobetsuensis	18.919	532	142.031052350135	187.685669878138	19.9110850555645	0	36.6610291613197	23.3835783723045	81.986444816511	177.697825987417	0	3.77129235846157	19.9110850555645
s__Capnocytophaga_gingivalis	57.112	1606	500.610681874576	297.227358777185	19.4861512710249	0	303.238448474254	101.781851563409	95.5903818369137	192.237321093156	36.3831169610664	32.2951245319015	19.4861512710249
s__Bacteroides_cellulosilyticus	0.747	21	8.1819105472209	0.768364084576448	18.7677957268255	0	7.89352043109941	0.288390116121489	0	0.438121413231215	0	0	18.7677957268255
s__Alistipes_finegoldii	0.711	20	0.353745382440936	11.3114986915396	18.3767388946716	0.250863814915486	0.10288156752545	0	0	2.68675261727167	0	0	18.3767388946716
s__Gemella_haemolysans	63.336	1781	2917.00622301105	164.935507023389	18.077310753919	0	2279.96454457882	301.829684414543	335.211994017688	26.1117024410691	2.78884585703896	118.462159713598	18.077310753919
s__TM7_phylum_sp_oral_taxon_352	47.226	1328	718.763227523115	699.796869867734	17.8544779823594	0.170854756000727	149.960102257407	194.819785072168	373.81248543754	582.960649410185	3.58200993324404	64.2186015263126	17.8544779823594
s__Bacteroides_fragilis	1.174	33	11.7597254798884	6.27820400843292	17.3807468622069	6.30855891438433	5.43048092215668	0.0206856433474082	0	1.14031437599072	0	0	17.3807468622069
s__Neisseria_cinerea	32.895	925	1246.58881812279	21.3296531197752	17.2017206078226	0	830.568500882391	161.210967620129	254.809349620266	7.24558067716123	0	6.15756633070946	17.2017206078226
s__GGB28894_SGB41575	0.391	11	0	0	16.7914861513884	0	0	0	0	0	0	0	16.7914861513884
s__Alloprevotella_SGB1466	32.148	904	967.592097113164	24.6050820891199	16.1241765632838	0	715.529924495127	95.6897428654504	156.372429752587	11.1349044939194	2.71493823058065	7.99835720831794	16.1241765632838
s__Lactobacillus_iners	0.391	11	0.444569183875357	12.8262037216952	14.8663207502043	0	0.108039601212949	0	0.336529582662408	0.00261147119109046	0	0	14.8663207502043
s__Prevotella_loescheii	29.552	831	172.107823544904	23.7348644487563	14.8535603502879	0	123.520943516238	7.20857844274695	41.3783015859185	5.50630294488514	2.17222743697432	2.51324539726655	14.8535603502879
